Date,Country,City,specification,count,min,max,median,varience
03-01-2020,IN,Kolkata,humidity,115,79,99.1,98.4,146.22
04-01-2020,IN,Kolkata,humidity,216,77.5,99.5,97.5,346.17
05-01-2020,IN,Kolkata,humidity,216,77.9,100,96.5,417.04
06-01-2020,IN,Kolkata,humidity,216,44.5,100,83.3,3614.39
07-01-2020,IN,Kolkata,humidity,216,54.3,99.1,85.4,2036.37
08-01-2020,IN,Kolkata,humidity,211,47.1,99.1,81.1,3194.8
09-01-2020,IN,Kolkata,humidity,203,54.5,99.1,87.1,1617.36
10-01-2020,IN,Kolkata,humidity,216,48,99.1,71.9,2471.14
11-01-2020,IN,Kolkata,humidity,211,50.4,99,80.7,2133.09
12-01-2020,IN,Kolkata,humidity,205,40.2,99.1,77.2,3682.75
13-01-2020,IN,Kolkata,humidity,200,39.2,99.1,69,3269.55
14-01-2020,IN,Kolkata,humidity,205,32.5,99.1,74.5,5409.3
15-01-2020,IN,Kolkata,humidity,216,36,99.1,78.3,4726.45
16-01-2020,IN,Kolkata,humidity,179,34,99,77,4475.16
17-01-2020,IN,Kolkata,humidity,196,28.3,98.9,76.3,4797.81
18-01-2020,IN,Kolkata,humidity,205,27.8,99.1,65.3,5415.48
19-01-2020,IN,Kolkata,humidity,207,45.1,99.1,76.5,2169.93
20-01-2020,IN,Kolkata,humidity,198,52.2,99,74.5,1550.14
21-01-2020,IN,Kolkata,humidity,205,41,99.1,71.6,3150.53
22-01-2020,IN,Kolkata,humidity,209,42.3,99.1,78.4,3507.17
23-01-2020,IN,Kolkata,humidity,194,57.1,99.1,75.8,1644.68
24-01-2020,IN,Kolkata,humidity,205,30.8,99,55.1,5086.01
25-01-2020,IN,Kolkata,humidity,207,30,98.2,60.2,3262.23
26-01-2020,IN,Kolkata,humidity,210,35.3,99,69.6,4245.97
27-01-2020,IN,Kolkata,humidity,216,39.5,99,70.4,3703.17
28-01-2020,IN,Kolkata,humidity,211,38.2,99.1,66.2,3732.96
29-01-2020,IN,Kolkata,humidity,211,68.3,99,87.1,492.59
30-01-2020,IN,Kolkata,humidity,205,79.9,99.6,95,272.44
31-01-2020,IN,Kolkata,humidity,216,41,100,81.5,3880.09
01-02-2020,IN,Kolkata,humidity,245,34.1,99.1,62.6,3345.81
02-02-2020,IN,Kolkata,humidity,233,31.3,99,60.6,3814.61
03-02-2020,IN,Kolkata,humidity,244,27.5,99,51.7,3812.33
04-02-2020,IN,Kolkata,humidity,264,30.6,99.1,55.6,3529.16
05-02-2020,IN,Kolkata,humidity,259,36.1,97.5,63.4,2746.36
06-02-2020,IN,Kolkata,humidity,226,32.6,99.1,57.2,5092.98
07-02-2020,IN,Kolkata,humidity,236,37.4,87,58.2,1603.96
08-02-2020,IN,Kolkata,humidity,201,51,96.6,71.1,900.58
09-02-2020,IN,Kolkata,humidity,99,45,97.3,78.3,1952.93
25-02-2020,IN,Kolkata,humidity,71,67.1,99,84.4,748.34
26-02-2020,IN,Kolkata,humidity,264,44.3,99,77.5,2426.02
27-02-2020,IN,Kolkata,humidity,261,42.6,98.8,71.1,2483.78
28-02-2020,IN,Kolkata,humidity,264,36.4,98,66.7,2546.41
29-02-2020,IN,Kolkata,humidity,264,31.9,99,59.7,3116.8
01-03-2020,IN,Kolkata,humidity,264,35.9,99,64.8,3190.37
02-03-2020,IN,Kolkata,humidity,264,36.7,99,64.4,2976.81
03-03-2020,IN,Kolkata,humidity,23,63.3,86.6,71.6,417.53
04-03-2020,IN,Kolkata,humidity,61,62.4,88.3,73.2,328.74
05-03-2020,IN,Kolkata,humidity,263,43.9,99,80.9,2222.42
06-03-2020,IN,Kolkata,humidity,264,41.3,99,83.2,2479.4
07-03-2020,IN,Kolkata,humidity,264,61,100,90.5,1019.92
08-03-2020,IN,Kolkata,humidity,264,39.9,99,78.7,2862.99
09-03-2020,IN,Kolkata,humidity,264,33.8,99,58,3063.74
10-03-2020,IN,Kolkata,humidity,264,28.9,97.7,56.9,3515.58
11-03-2020,IN,Kolkata,humidity,264,36.7,99,59.7,3354.67
12-03-2020,IN,Kolkata,humidity,264,43.3,99,70.8,1674.87
13-03-2020,IN,Kolkata,humidity,264,38.4,100,64.3,3257.11
14-03-2020,IN,Kolkata,humidity,249,40,88,61.8,1027.66
15-03-2020,IN,Kolkata,humidity,240,40.1,95.7,66.2,1985.78
16-03-2020,IN,Kolkata,humidity,253,43.8,95.8,66.8,1568.05
17-03-2020,IN,Kolkata,humidity,263,35.8,92.1,57.8,2559.62
18-03-2020,IN,Kolkata,humidity,264,31,92.4,54.4,2410.58
19-03-2020,IN,Kolkata,humidity,259,18.4,94.9,52,3778.42
20-03-2020,IN,Kolkata,humidity,264,19.3,79.4,49.5,2613.3
21-03-2020,IN,Kolkata,humidity,264,28.5,99,64.2,3809.18
22-03-2020,IN,Kolkata,humidity,264,37.8,98.8,69,2696.83
23-03-2020,IN,Kolkata,humidity,240,29,98.9,68.5,3843.08
24-03-2020,IN,Kolkata,humidity,259,35.5,100,66,3900.92
25-03-2020,IN,Kolkata,humidity,264,37.7,99,70.1,3668.93
26-03-2020,IN,Kolkata,humidity,264,23,99.1,55.5,7597.48
27-03-2020,IN,Kolkata,humidity,262,20.9,99,45.6,5761.82
28-03-2020,IN,Kolkata,humidity,244,27.2,98,49.3,4454.32
29-03-2020,IN,Kolkata,humidity,230,29.6,85.2,45.3,2298.24
30-03-2020,IN,Kolkata,humidity,234,21,91.2,39.2,3884.34
31-03-2020,IN,Kolkata,humidity,220,19.7,92.3,45.5,4011.8
