Date,Country,City,specification,count,min,max,median,varience
30-12-2019,IN,Kolkata,o3,180,0.6,53.5,6.8,1278.58
31-12-2019,IN,Kolkata,o3,178,0.7,70,5.1,1848.3
01-01-2020,IN,Kolkata,o3,168,0.6,50.4,5.1,1705.21
02-01-2020,IN,Kolkata,o3,180,0.5,56.1,4.8,1830.49
03-01-2020,IN,Kolkata,o3,191,0.8,103.8,5,1112.41
04-01-2020,IN,Kolkata,o3,192,0.5,31.2,3.1,188.63
05-01-2020,IN,Kolkata,o3,192,0.4,35.8,2.5,212.15
06-01-2020,IN,Kolkata,o3,192,0.5,62.2,4.4,1606.62
07-01-2020,IN,Kolkata,o3,192,0.4,47.5,6,1552.01
08-01-2020,IN,Kolkata,o3,187,0.6,51,5.1,1917.58
09-01-2020,IN,Kolkata,o3,179,0.5,77.2,4.6,1178.17
10-01-2020,IN,Kolkata,o3,192,0.2,90.5,5.6,1458.92
11-01-2020,IN,Kolkata,o3,187,0.2,44.7,7.5,1300.74
12-01-2020,IN,Kolkata,o3,181,0.1,51.1,7,1851.9
13-01-2020,IN,Kolkata,o3,177,0.1,66.3,7.6,2607.88
14-01-2020,IN,Kolkata,o3,180,0.1,107.1,5.9,4035.49
15-01-2020,IN,Kolkata,o3,192,0.1,100.4,6.7,5046.15
16-01-2020,IN,Kolkata,o3,153,0.1,89.9,6.8,5110.17
17-01-2020,IN,Kolkata,o3,172,0.4,73.5,6.2,3099.58
18-01-2020,IN,Kolkata,o3,181,0.5,79,5.9,1969.02
19-01-2020,IN,Kolkata,o3,183,0.4,51.2,8.1,1464.06
20-01-2020,IN,Kolkata,o3,174,1,89.9,12.3,1392.87
21-01-2020,IN,Kolkata,o3,181,0.7,72.6,7.9,2585.68
22-01-2020,IN,Kolkata,o3,185,0.6,95,6.4,3516.15
23-01-2020,IN,Kolkata,o3,170,0.6,56.7,6.8,1702.7
24-01-2020,IN,Kolkata,o3,181,0.6,59.7,6.8,2247.16
25-01-2020,IN,Kolkata,o3,183,0.7,101.9,9,3181.44
26-01-2020,IN,Kolkata,o3,186,0.6,84.7,6.9,3892.33
27-01-2020,IN,Kolkata,o3,191,0.7,80.3,6.5,3118.84
28-01-2020,IN,Kolkata,o3,187,0.5,79.2,11.4,3329.09
29-01-2020,IN,Kolkata,o3,187,2.6,35.7,17.1,680.04
30-01-2020,IN,Kolkata,o3,181,0.5,171.9,10.7,2699.97
31-01-2020,IN,Kolkata,o3,238,0.6,78.8,8.6,2387.03
01-02-2020,IN,Kolkata,o3,222,0.5,103,10,3664.56
02-02-2020,IN,Kolkata,o3,208,0.5,73,8.9,2841.3
03-02-2020,IN,Kolkata,o3,219,0.7,124.7,10.1,4145.44
04-02-2020,IN,Kolkata,o3,239,0.4,94.6,6.7,4981.47
05-02-2020,IN,Kolkata,o3,230,0.4,130,10.1,6259.09
06-02-2020,IN,Kolkata,o3,200,0.4,80.4,6.9,3973.11
07-02-2020,IN,Kolkata,o3,210,0.7,94.5,9,2171.53
