Date,Country,City,specification,count,min,max,median,varience
30-12-2019,IN,Kolkata,no2,180,0.5,102.2,22.9,2802.95
31-12-2019,IN,Kolkata,no2,178,1.6,100.1,27,3390.21
01-01-2020,IN,Kolkata,no2,168,9,71.1,32.2,1871.14
02-01-2020,IN,Kolkata,no2,180,7.3,82.8,25.8,1492.56
03-01-2020,IN,Kolkata,no2,191,0.6,52.1,17.7,455.01
04-01-2020,IN,Kolkata,no2,192,0.3,74.7,19.8,1047.52
05-01-2020,IN,Kolkata,no2,192,0.2,76.2,20.8,1173.93
06-01-2020,IN,Kolkata,no2,192,0.2,66.6,24.7,1538.25
07-01-2020,IN,Kolkata,no2,192,5.7,60.6,21.6,1043.88
08-01-2020,IN,Kolkata,no2,187,3.7,47.6,22.7,1113.12
09-01-2020,IN,Kolkata,no2,179,3,51.4,27.3,868.42
10-01-2020,IN,Kolkata,no2,192,8,49.9,22.1,819.31
11-01-2020,IN,Kolkata,no2,187,7.1,54.5,19.8,907.21
12-01-2020,IN,Kolkata,no2,181,8.1,66,21.1,1759.42
13-01-2020,IN,Kolkata,no2,177,9.4,95.7,29,3086.55
14-01-2020,IN,Kolkata,no2,181,2.2,100.2,36.4,4249.06
15-01-2020,IN,Kolkata,no2,192,0.5,102,45,5101.84
16-01-2020,IN,Kolkata,no2,155,0.7,99.6,37.8,3870.85
17-01-2020,IN,Kolkata,no2,173,6,97.9,32.2,3458.56
18-01-2020,IN,Kolkata,no2,179,5.3,78.7,30.1,2538.45
19-01-2020,IN,Kolkata,no2,183,8.2,67.5,23.9,799.16
20-01-2020,IN,Kolkata,no2,174,2.5,72.1,17.3,1368.2
21-01-2020,IN,Kolkata,no2,181,5.9,91.5,24.7,2126.2
22-01-2020,IN,Kolkata,no2,185,1.7,102.6,33.2,3495.41
23-01-2020,IN,Kolkata,no2,170,2.7,71.1,28.7,1428.68
24-01-2020,IN,Kolkata,no2,181,4.4,86,29,2356.4
25-01-2020,IN,Kolkata,no2,183,4.4,97.9,26.5,3013.8
26-01-2020,IN,Kolkata,no2,186,0.4,89.5,31.7,3312.92
27-01-2020,IN,Kolkata,no2,192,0.5,101,30.1,4665.45
28-01-2020,IN,Kolkata,no2,187,5.4,82.3,30.2,2259.58
29-01-2020,IN,Kolkata,no2,187,3.9,106.4,16.6,1382.94
30-01-2020,IN,Kolkata,no2,181,0.1,41.8,17.7,467.66
31-01-2020,IN,Kolkata,no2,238,2.8,57.7,20,1477.71
01-02-2020,IN,Kolkata,no2,222,7.9,74.8,22.5,1874.79
02-02-2020,IN,Kolkata,no2,208,7,79.7,25.3,1960.33
03-02-2020,IN,Kolkata,no2,220,1.5,65.7,24.7,2068.04
04-02-2020,IN,Kolkata,no2,240,4.9,68.8,30.2,2433.89
05-02-2020,IN,Kolkata,no2,232,8.1,70.3,28.6,2176.62
06-02-2020,IN,Kolkata,no2,208,5.6,65.3,25.7,1479.89
07-02-2020,IN,Kolkata,no2,210,5,56.7,24,933.35
08-02-2020,IN,Kolkata,no2,176,1,42.4,25.9,400.29
09-02-2020,IN,Kolkata,no2,192,7.8,60.9,21.8,1604.86
10-02-2020,IN,Kolkata,no2,202,2.1,96,27.6,3425.86
11-02-2020,IN,Kolkata,no2,215,0.6,92.5,31.5,4031.28
