Date,Country,City,specification,count,min,max,median,varience
30-12-2019,IN,Kolkata,co,180,0.2,64.7,8.2,1871.68
31-12-2019,IN,Kolkata,co,177,1.5,62.3,9.9,2423.85
01-01-2020,IN,Kolkata,co,168,2.1,65.9,12,1833.01
02-01-2020,IN,Kolkata,co,180,2.1,78.1,9.5,1816.65
03-01-2020,IN,Kolkata,co,188,0.5,60.2,4.6,996.84
04-01-2020,IN,Kolkata,co,192,2.8,60.2,6.5,1787.23
05-01-2020,IN,Kolkata,co,192,1.9,80.2,8.2,2154.17
06-01-2020,IN,Kolkata,co,191,0.1,70.5,10.5,1291.81
07-01-2020,IN,Kolkata,co,192,2,65.8,7.5,1169.73
08-01-2020,IN,Kolkata,co,186,0.5,32.7,10.8,406.32
09-01-2020,IN,Kolkata,co,179,0.5,31.6,10.1,215.03
10-01-2020,IN,Kolkata,co,192,1.8,16.5,6.4,92.19
11-01-2020,IN,Kolkata,co,187,1.9,25,5.5,306.51
12-01-2020,IN,Kolkata,co,181,1.9,28.2,6.1,405.78
13-01-2020,IN,Kolkata,co,177,1.7,52.9,7.3,1056.17
14-01-2020,IN,Kolkata,co,181,0.6,59.4,13.7,1679.55
15-01-2020,IN,Kolkata,co,190,2,54.1,21.1,1430
16-01-2020,IN,Kolkata,co,155,1.5,57.1,14.6,1336.48
17-01-2020,IN,Kolkata,co,170,0.5,38.7,14.2,720.77
18-01-2020,IN,Kolkata,co,181,1.6,39.7,10.6,521.94
19-01-2020,IN,Kolkata,co,183,3.1,28.6,7.7,156.96
20-01-2020,IN,Kolkata,co,174,1,27.3,5.5,216.63
21-01-2020,IN,Kolkata,co,172,1.5,42.5,7.9,480.14
22-01-2020,IN,Kolkata,co,161,1.3,30.2,9.4,495.68
23-01-2020,IN,Kolkata,co,159,1.2,23.3,9.4,124.62
24-01-2020,IN,Kolkata,co,181,0.1,33.1,6.3,326.98
25-01-2020,IN,Kolkata,co,183,1.4,34.4,5.5,440.25
26-01-2020,IN,Kolkata,co,186,1.2,50.8,10.6,791.76
27-01-2020,IN,Kolkata,co,192,1.3,54.5,8.8,949.45
28-01-2020,IN,Kolkata,co,187,1,44.4,7.5,482.58
29-01-2020,IN,Kolkata,co,187,1.4,9.8,4.5,19.3
30-01-2020,IN,Kolkata,co,181,1.3,31.3,6.4,369.75
31-01-2020,IN,Kolkata,co,238,1,60.4,5.4,537.18
01-02-2020,IN,Kolkata,co,222,1.1,38.2,4.9,526.17
02-02-2020,IN,Kolkata,co,202,0.5,38.3,4.4,650.44
03-02-2020,IN,Kolkata,co,220,0.5,28.8,5.4,414.56
04-02-2020,IN,Kolkata,co,240,0.8,24.1,6.9,288.92
05-02-2020,IN,Kolkata,co,234,1.7,26.8,7.4,213.18
